Abbott,356,352
Abernathy,2805,2865
Abilene,117063,125182
Ackerly,220,264
Addison,13056,16661
Adrian,166,128
Agua Dulce,812,685
Alamo,18353,19493
Alamo Heights,7031,7357
Alba,504,473
Albany,2034,1854
Aledo,2716,4858
Alice,19104,17891
Allen,84246,104627
Alma,331,373
Alpine,5905,6035
Alto,1225,1027
Alton,12341,18198
Alvarado,3785,4739
Alvin,24236,27098
Alvord,1334,1351
Amarillo,190695,200393
Ames,1003,937
Amherst,721,678
Anahuac,2243,1980
Anderson,222,193
Andrews,11088,13487
Angleton,18862,19429
Angus,414,444
Anna,8249,16896
Annetta,1288,3041
Annetta North,518,554
Annetta South,526,621
Annona,315,184
Anson,2430,2294
Anthony,5011,3671
Anton,1126,907
Appleby,474,552
Aquilla,109,101
Aransas Pass,8204,7941
Archer City,1834,1601
Arcola,1642,2034
Argyle,3282,4403
Arlington,365438,394266
Arp,970,892
Asherton,1084,722
Aspermont,919,789
Athens,12710,12857
Atlanta,5675,5433
Aubrey,2595,5006
Aurora,1220,1390
Austin,790390,961855
Austwell,147,118
Avery,482,421
Avinger,444,371
Azle,10947,13369
Bailey,289,220
Bailey's Prairie,727,775
Baird,1496,1479
Balch Springs,23728,27685
Balcones Heights,2941,2746
Ballinger,3767,3619
Balmorhea,479,408
Bandera,857,829
Bangs,1603,1540
Bardwell,649,625
Barry,242,220
Barstow,349,265
Bartlett,1623,1633
Bartonville,1469,1725
Bastrop,7218,9688
Bay City,17614,18061
Bayou Vista,1537,1763
Bayside,325,275
Baytown,71802,83701
Bayview,383,475
Beach City,2198,3221
Bear Creek,382,397
Beasley,641,608
Beaumont,118296,115282
Beckville,847,722
Bedford,46979,49928
Bedias,443,361
Bee Cave,3925,9144
Beeville,12863,13669
Bellaire,16855,17202
Bellevue,362,289
Bellmead,9901,10494
Bells,1392,1521
Bellville,4097,4206
Belton,18216,23054
Benavides,1362,1183
Benbrook,21234,24520
Benjamin,258,196
Berryville,975,824
Bertram,1353,1616
Beverly Hills,1995,1878
Bevil Oaks,1274,1089
Big Lake,2936,2965
Big Sandy,1343,1231
Big Spring,27282,26144
Big Wells,697,483
Bishop,3134,3174
Bishop Hills,193,211
Blackwell,311,258
Blanco,1739,1682
Blanket,390,369
Bloomburg,404,321
Blooming Grove,821,857
Blossom,1494,1402
Blue Mound,2394,2393
Blue Ridge,822,1180
Blum,444,383
Boerne,10471,17850
Bogata,1153,1074
Bonham,10127,10408
Bonney,310,180
Booker,1516,1437
Borger,13251,12551
Bovina,1868,1699
Bowie,5218,5448
Boyd,1207,1416
Brackettville,1688,1341
Brady,5528,5118
Brazoria,3019,2866
Brazos Bend,305,380
Brazos Country,469,514
Breckenridge,5780,5187
Bremond,929,858
Brenham,15716,17369
Briarcliff,1438,2062
Briaroaks,492,507
Bridge City,7840,9546
Bridgeport,5976,5923
Broaddus,207,184
Bronte,999,933
Brookshire,4702,5066
Brookside Village,1523,1548
Browndell,197,160
Brownfield,9657,8936
Brownsboro,1039,1212
Brownsville,175023,186738
Brownwood,19288,18862
Bruceville-Eddy,1475,1413
Bryan,76201,83980
Bryson,539,430
Buckholts,515,365
Buda,7295,15108
Buffalo,1856,1767
Buffalo Gap,464,543
Buffalo Springs,453,468
Bullard,2463,3318
Bulverde,4630,5692
Bunker Hill Village,3633,3822
Burkburnett,10811,10939
Burke,737,691
Burleson,36690,47641
Burnet,5987,6436
Burton,300,297
Byers,496,454
Bynum,199,171
Cactus,3179,3057
Caddo Mills,1338,1495
Caldwell,4104,3993
Callisburg,353,321
Calvert,1192,962
Cameron,5552,5306
Camp Wood,706,517
Campbell,638,542
Canadian,2649,2339
Caney City,217,187
Canton,3581,4229
Canyon,13303,14836
Carbon,272,281
Carl's Corner,173,201
Carmine,250,244
Carrizo Springs,5368,4892
Carrollton,119097,133434
Carthage,6779,6569
Cashion Community,348,286
Castle Hills,4116,3978
Castroville,2680,2954
Cedar Hill,45028,49148
Cedar Park,48937,77595
Celeste,814,809
Celina,6028,16739
Center,5193,5221
Centerville,892,905
Chandler,2734,3275
Channing,363,281
Charlotte,1715,1524
Chester,312,270
Chico,1002,946
Childress,6105,5737
Chillicothe,707,549
China,1160,1260
China Grove,1179,1141
Chireno,386,370
Christine,390,337
Cibolo,15349,32276
Cisco,3899,3883
Clarendon,2026,1877
Clarksville,3285,2857
Clarksville City,865,780
Claude,1196,1186
Clear Lake Shores,1063,1258
