
City		2010		2020		Pop Change
Abernathy		2805		2865		2.14%
Abilene		117063		125182		6.94%
Ackerly		220		264		20.00%
Addison		13056		16661		27.61%
Adrian		166		128		-22.89%
Agua Dulce		812		685		-15.64%
Alamo		18353		19493		6.21%
Alamo Heights		7031		7357		4.64%
Alba		504		473		-6.15%
Albany		2034		1854		-8.85%
Aledo		2716		4858		78.87%
Alice		19104		17891		-6.35%
Allen		84246		104627		24.19%
Alma		331		373		12.69%
Alpine		5905		6035		2.20%
Alto		1225		1027		-16.16%
Alton		12341		18198		47.46%
Alvarado		3785		4739		25.20%
Alvin		24236		27098		11.81%
Alvord		1334		1351		1.27%
Amarillo		190695		200393		5.09%
Ames		1003		937		-6.58%
Amherst		721		678		-5.96%
Anahuac		2243		1980		-11.73%
Anderson		222		193		-13.06%
Andrews		11088		13487		21.64%
Angleton		18862		19429		3.01%
Angus		414		444		7.25%
Anna		8249		16896		104.82%
Annetta		1288		3041		136.10%
Annetta North		518		554		6.95%
Annetta South		526		621		18.06%
Annona		315		184		-41.59%
Anson		2430		2294		-5.60%
Anthony		5011		3671		-26.74%
Anton		1126		907		-19.45%
Appleby		474		552		16.46%
Aquilla		109		101		-7.34%
Aransas Pass		8204		7941		-3.21%
Archer City		1834		1601		-12.70%
Arcola		1642		2034		23.87%
Argyle		3282		4403		34.16%
Arlington		365438		394266		7.89%
Arp		970		892		-8.04%
Asherton		1084		722		-33.39%
Aspermont		919		789		-14.15%
Athens		12710		12857		1.16%
Atlanta		5675		5433		-4.26%
Aubrey		2595		5006		92.91%
Aurora		1220		1390		13.93%
Austin		790390		961855		21.69%
Austwell		147		118		-19.73%
Avery		482		421		-12.66%
Avinger		444		371		-16.44%
Azle		10947		13369		22.12%
Bailey		289		220		-23.88%
Bailey's Prairie		727		775		6.60%
Baird		1496		1479		-1.14%
Balch Springs		23728		27685		16.68%
Balcones Heights		2941		2746		-6.63%
Ballinger		3767		3619		-3.93%
Balmorhea		479		408		-14.82%
Bandera		857		829		-3.27%
Bangs		1603		1540		-3.93%
Bardwell		649		625		-3.70%
Barry		242		220		-9.09%
Barstow		349		265		-24.07%
Bartlett		1623		1633		0.62%
Bartonville		1469		1725		17.43%
Bastrop		7218		9688		34.22%
Bay City		17614		18061		2.54%
Bayou Vista		1537		1763		14.70%
Bayside		325		275		-15.38%
Baytown		71802		83701		16.57%
Bayview		383		475		24.02%
Beach City		2198		3221		46.54%
Bear Creek		382		397		3.93%
Beasley		641		608		-5.15%
Beaumont		118296		115282		-2.55%
Beckville		847		722		-14.76%
Bedford		46979		49928		6.28%
Bedias		443		361		-18.51%
Bee Cave		3925		9144		132.97%
Beeville		12863		13669		6.27%
Bellaire		16855		17202		2.06%
Bellevue		362		289		-20.17%
Bellmead		9901		10494		5.99%
Bells		1392		1521		9.27%
Bellville		4097		4206		2.66%
Belton		18216		23054		26.56%
Benavides		1362		1183		-13.14%
Benbrook		21234		24520		15.48%
Benjamin		258		196		-24.03%
Berryville		975		824		-15.49%
Bertram		1353		1616		19.44%
Beverly Hills		1995		1878		-5.86%
Bevil Oaks		1274		1089		-14.52%
Big Lake		2936		2965		0.99%
Big Sandy		1343		1231		-8.34%
Big Spring		27282		26144		-4.17%
Big Wells		697		483		-30.70%
Bishop		3134		3174		1.28%
Bishop Hills		193		211		9.33%
Blackwell		311		258		-17.04%
Blanco		1739		1682		-3.28%
Blanket		390		369		-5.38%
Bloomburg		404		321		-20.54%
Blooming Grove		821		857		4.38%
Blossom		1494		1402		-6.16%
Blue Mound		2394		2393		-0.04%
Blue Ridge		822		1180		43.55%
Blum		444		383		-13.74%
Boerne		10471		17850		70.47%
Bogata		1153		1074		-6.85%
Bonham		10127		10408		2.77%
Bonney		310		180		-41.94%
Booker		1516		1437		-5.21%
Borger		13251		12551		-5.28%
Bovina		1868		1699		-9.05%
Bowie		5218		5448		4.41%
Boyd		1207		1416		17.32%
Brackettville		1688		1341		-20.56%
Brady		5528		5118		-7.42%
Brazoria		3019		2866		-5.07%
Brazos Bend		305		380		24.59%
Brazos Country		469		514		9.59%
Breckenridge		5780		5187		-10.26%
Bremond		929		858		-7.64%
Brenham		15716		17369		10.52%
Briarcliff		1438		2062		43.39%
Briaroaks		492		507		3.05%
Bridge City		7840		9546		21.76%
Bridgeport		5976		5923		-0.89%
Broaddus		207		184		-11.11%
Bronte		999		933		-6.61%
Brookshire		4702		5066		7.74%
Brookside Village		1523		1548		1.64%
Browndell		197		160		-18.78%
Brownfield		9657		8936		-7.47%
Brownsboro		1039		1212		16.65%
Brownsville		175023		186738		6.69%
Brownwood		19288		18862		-2.21%
Bruceville-Eddy		1475		1413		-4.20%
Bryan		76201		83980		10.21%
Bryson		539		430		-20.22%
Buckholts		515		365		-29.13%
Buda		7295		15108		107.10%
Buffalo		1856		1767		-4.80%
Buffalo Gap		464		543		17.03%
Buffalo Springs		453		468		3.31%
Bullard		2463		3318		34.71%
Bulverde		4630		5692		22.94%
Bunker Hill Village		3633		3822		5.20%
Burkburnett		10811		10939		1.18%
Burke		737		691		-6.24%
Burleson		36690		47641		29.85%
Burnet		5987		6436		7.50%
Burton		300		297		-1.00%
Byers		496		454		-8.47%
Bynum		199		171		-14.07%
Cactus		3179		3057		-3.84%
Caddo Mills		1338		1495		11.73%
Caldwell		4104		3993		-2.70%
Callisburg		353		321		-9.07%
Calvert		1192		962		-19.30%
Cameron		5552		5306		-4.43%
Campbell		638		542		-15.05%
Camp Wood		706		517		-26.77%
Canadian		2649		2339		-11.70%
Caney City		217		187		-13.82%
Canton		3581		4229		18.10%
Canyon		13303		14836		11.52%
Carbon		272		281		3.31%
Carl's Corner		173		201		16.18%
Carmine		250		244		-2.40%
Carrizo Springs		5368		4892		-8.87%
Carrollton		119097		133434		12.04%
Carthage		6779		6569		-3.10%
Cashion Community		348		286		-17.82%
Castle Hills		4116		3978		-3.35%
Castroville		2680		2954		10.22%
Cedar Hill		45028		49148		9.15%
Cedar Park		48937		77595		58.56%
Celeste		814		809		-0.61%
Celina		6028		16739		177.69%
Center		5193		5221		0.54%
Centerville		892		905		1.46%
Chandler		2734		3275		19.79%
Channing		363		281		-22.59%
Charlotte		1715		1524		-11.14%
Chester		312		270		-13.46%
Chico		1002		946		-5.59%
Childress		6105		5737		-6.03%
Chillicothe		707		549		-22.35%
China		1160		1260		8.62%
China Grove		1179		1141		-3.22%
Chireno		386		370		-4.15%
Christine		390		337		-13.59%
Cibolo		15349		32276		110.28%
Cisco		3899		3883		-0.41%
Clarendon		2026		1877		-7.35%
Clarksville		3285		2857		-13.03%
Clarksville City		865		780		-9.83%
Claude		1196		1186		-0.84%
Clear Lake Shores		1063		1258		18.34%
Cleburne		29337		31352		6.87%
Cleveland		7675		7471		-2.66%
Clifton		3442		3465		0.67%
Clint		926		923		-0.32%
Clute		11211		10604		-5.41%
Clyde		3713		3811		2.64%
Coahoma		817		945		15.67%
Cockrell Hill		4193		3815		-9.02%
Coffee City		278		249		-10.43%
Coldspring		853		819		-3.99%
Coleman		4709		3912		-16.93%
College Station		93857		120511		28.40%
Colleyville		22807		26057		14.25%
Collinsville		1624		1866		14.90%
Colmesneil		596		542		-9.06%
Colorado City		4146		3991		-3.74%
Columbus		3655		3699		1.20%
Comanche		4335		4211		-2.86%
Combes		2895		2999		3.59%
Combine		1942		2245		15.60%
Commerce		8078		9090		12.53%
Como		702		728		3.70%
Conroe		56207		89956		60.04%
Converse		18198		27466		50.93%
Cool		157		211		34.39%
Coolidge		955		778		-18.53%
Cooper		1969		1911		-2.95%
Coppell		38659		42983		11.18%
Copperas Cove		32032		36670		14.48%
Copper Canyon		1334		1731		29.76%
Corinth		19935		22634		13.54%
Corpus Christi		305215		317863		4.14%
Corrigan		1595		1477		-7.40%
Corsicana		23770		25109		5.63%
Cottonwood		185		181		-2.16%
Cottonwood Shores		1123		1403		24.93%
Cotulla		3603		3718		3.19%
Coupland				289		#DIV/0!
Cove		510		525		2.94%
Covington		269		261		-2.97%
Coyote Flats				345		#DIV/0!
Crandall		2858		3860		35.06%
Crane		3353		4675		39.43%
Cranfills Gap		281		277		-1.42%
Crawford		717		887		23.71%
Creedmoor		202		458		126.73%
Cresson		741		1349		82.05%
Crockett		6950		6332		-8.89%
Crosbyton		1741		1492		-14.30%
Cross Plains		982		899		-8.45%
Cross Roads		1563		1744		11.58%
Cross Timber		268		362		35.07%
Crowell		948		769		-18.88%
Crowley		12838		18070		40.75%
Crystal City		7138		6354		-10.98%
Cuero		6841		8128		18.81%
Cumby		777		679		-12.61%
Cuney		140		116		-17.14%
Cushing		612		557		-8.99%
Cut and Shoot		1070		1087		1.59%
Daingerfield		2560		2522		-1.48%
Daisetta		966		923		-4.45%
Dalhart		7930		8447		6.52%
Dallas		1197816		1304379		8.90%
Dalworthington Gardens		2259		2293		1.51%
Danbury		1715		1671		-2.57%
Darrouzett		350		309		-11.71%
Dawson		807		815		0.99%
Dayton		7242		8777		21.20%
Dayton Lakes		93		45		-51.61%
Dean		493		488		-1.01%
Decatur		6042		6538		8.21%
DeCordova		2683		3007		12.08%
Deer Park		32010		34495		7.76%
De Kalb		1699		1527		-10.12%
De Leon		2246		2258		0.53%
Dell City		365		245		-32.88%
Del Rio		35591		34673		-2.58%
Denison		22682		24479		7.92%
Denton		113383		139869		23.36%
Denver City		4479		4470		-0.20%
Deport		578		550		-4.84%
DeSoto		49047		56145		14.47%
Detroit		732		704		-3.83%
Devers		447		361		-19.24%
Devine		4350		4324		-0.60%
Diboll		4776		4457		-6.68%
Dickens		286		219		-23.43%
Dickinson		18680		20847		11.60%
Dilley		3894		3274		-15.92%
Dimmitt		4393		4171		-5.05%
DISH		201		437		117.41%
Dodd City		369		369		0.00%
Dodson		109		93		-14.68%
Domino		93		71		-23.66%
Donna		15798		16797		6.32%
Dorchester		148		69		-53.38%
Double Oak		2867		3054		6.52%
Douglassville		229		211		-7.86%
Draper		27		33		22.22%
Dripping Springs		1788		4650		160.07%
Driscoll		739		680		-7.98%
Dublin		3654		3359		-8.07%
Dumas		14691		14501		-1.29%
Duncanville		38524		40706		5.66%
Eagle Lake		3639		3442		-5.41%
Eagle Pass		26248		28130		7.17%
Early		2762		3087		11.77%
Earth		1065		901		-15.40%
East Bernard		2272		2218		-2.38%
Eastland		3960		3609		-8.86%
East Mountain		797		899		12.80%
Easton		510		499		-2.16%
East Tawakoni		883		824		-6.68%
Ector		695		737		6.04%
Edcouch		3161		2732		-13.57%
Eden		2766		1100		-60.23%
Edgecliff Village		2776		3788		36.46%
Edgewood		1441		1530		6.18%
Edinburg		77100		100243		30.02%
Edmonson		111		86		-22.52%
Edna		5499		5987		8.87%
Edom		375		339		-9.60%
El Campo		11602		12350		6.45%
El Cenizo		3273		2540		-22.40%
Eldorado		1951		1574		-19.32%
Electra		2791		2292		-17.88%
Elgin		8135		9784		20.27%
Elkhart		1371		1287		-6.13%
El Lago		2706		3090		14.19%
Elmendorf		1488		1862		25.13%
El Paso		649121		678815		4.57%
Elsa		5660		5668		0.14%
Emhouse		133		187		40.60%
Emory		1239		1251		0.97%
Enchanted Oaks		326		347		6.44%
Encinal		559		540		-3.40%
Ennis		18513		20159		8.89%
Escobares		1188		2588		117.85%
Estelline		145		121		-16.55%
Euless		51277		61032		19.02%
Eureka		307		313		1.95%
Eustace		991		1137		14.73%
Evant		426		455		6.81%
Everman		6108		6154		0.75%
Fairchilds		763		864		13.24%
Fairfield		2951		2850		-3.42%
Fair Oaks Ranch		5986		9833		64.27%
Fairview		7248		10372		43.10%
Falfurrias		4981		4609		-7.47%
Falls City		611		514		-15.88%
Farmers Branch		28616		35991		25.77%
Farmersville		3301		10397		214.97%
Farwell		1363		1425		4.55%
Fate		6357		17958		182.49%
Fayetteville		258		246		-4.65%
Ferris		2436		2788		14.45%
Flatonia		1383		1308		-5.42%
Florence		1136		1171		3.08%
Floresville		6448		7203		11.71%
Flower Mound		64669		75956		17.45%
Floydada		3038		2675		-11.95%
Follett		459		373		-18.74%
Forest Hill		12355		13955		12.95%
Forney		14661		23455		59.98%
Forsan		210		225		7.14%
Fort Stockton		8283		8466		2.21%
Fort Worth		741206		918915		23.98%
Franklin		1564		1614		3.20%
Frankston		1229		1126		-8.38%
Fredericksburg		10530		10875		3.28%
Freeport		12049		10696		-11.23%
Freer		2818		2461		-12.67%
Friendswood		35805		41213		15.10%
Friona		4123		4171		1.16%
Frisco		116989		200509		71.39%
Fritch		2117		1859		-12.19%
Frost		643		620		-3.58%
Fruitvale		408		476		16.67%
Fulshear		1134		16856		1386.42%
Fulton		1358		1523		12.15%
Gainesville		16002		16886		5.52%
Galena Park		10887		10757		-1.19%
Gallatin		419		434		3.58%
Galveston		47743		50446		5.66%
Ganado		2003		2055		2.60%
Garden Ridge		3259		4130		26.73%
Garland		226876		239928		5.75%
Garrett		806		892		10.67%
Garrison		895		873		-2.46%
Gary City		311		300		-3.54%
Gatesville		15751		12401		-21.27%
Georgetown		47400		79604		67.94%
George West		2445		2562		4.79%
Gholson		1061		1118		5.37%
Giddings		4881		5099		4.47%
Gilmer		4905		5143		4.85%
Gladewater		6441		6341		-1.55%
Glenn Heights		11278		13377		18.61%
Glen Rose		2444		2699		10.43%
Godley		1009		1373		36.08%
Goldsmith		257		294		14.40%
Goldthwaite		1878		1833		-2.40%
Goliad		1908		2004		5.03%
Golinda		559		589		5.37%
Gonzales		7237		7533		4.09%
Goodlow		200		198		-1.00%
Goodrich		271		323		19.19%
Gordon		478		486		1.67%
Goree		203		203		0.00%
Gorman		1083		1035		-4.43%
Graford		584		627		7.36%
Graham		8903		8622		-3.16%
Granbury		7978		10730		34.49%
Grandfalls		360		403		11.94%
Grand Prairie		175396		194543		10.92%
Grand Saline		3136		3173		1.18%
Grandview		1561		1798		15.18%
Granger		1419		1505		6.06%
Granite Shoals		4910		5087		3.60%
